11		11043         	Mung beans, mature seeds, sprouted, raw	135.0	g             	8.100	40.500	201.150	4.104	8.019	.243	.000
11		16144         	Lentils, pink or red, raw	80.0	g             	5.600	286.400	534.400	19.128	50.480	1.736	.000
11		11979         	Peppers, jalapeno, raw	14.0	g             	.420	4.060	34.720	.127	.910	.052	.000
11		99032         	Coconut Milk, Culinary, Light	147.0	g             	9.996	99.960	.000	78.351	3.528	9.996	.000
14		99013         	Vegetable Protein, Texturized	102.0	g             	8.497	339.660	.000	51.000	29.743	.000	.000
14		16212         	Vitasoy USA, Organic Nasoya Extra Firm Tofu	200.0	g             	8.000	196.000		20.200	5.200	10.400	.000
14		06700         	Soup, vegetable broth, ready to serve	150.0	g             	444.000	7.500	28.500	.360	1.395	.105	.000
14		02020         	Spices, garlic powder	1.0	tsp           	1.860	10.261	36.983	.513	2.255	.023	.000
14		02026         	Spices, onion powder	1.0	tsp           	1.752	8.184	23.640	.250	1.899	.025	.000
17		11270         	Mustard greens, raw	95.0	g             	19.000	25.650	364.800	2.717	4.437	.399	.000
15		19171         	Cocoa, dry powder, unsweetened, HERSHEY'S European Style Cocoa	30.0	g             	.000	123.000		6.000	18.000	3.000	.000
15		18372         	Leavening agents, baking soda	8.0	g             	2188.800	.000	.000	.000	.000	.000	.000
17		11959         	Arugula, raw	24.0	g             	6.480	6.000	88.560	.619	.876	.158	.000
22	1	04047         	Oil, coconut	1.0	tbsp          	.000	121.312	.000	.000	.000	13.472	.000
22	1	11282         	Onions, raw	139.0	g             	5.560	55.600	202.940	1.529	12.983	.139	.000
22	1	11124         	Carrots, raw	121.0	g             	83.490	49.610	387.200	1.125	11.592	.290	.000
22	1	11143         	Celery, raw	109.0	g             	87.200	17.440	283.400	.752	3.237	.185	.000
22	1	11215         	Garlic, raw	34.0	g             	5.780	50.660	136.340	2.162	11.240	.170	.000
22	1	02047         	Salt, table	2.0	g             	775.160	.000	.160	.000	.000	.000	.000
22	1	11367         	Potatoes, boiled, cooked without skin, flesh, without salt	196.0	g             	9.800	168.560	642.880	3.352	39.220	.196	.000
22	1	11312         	Peas, green, frozen, unprepared	137.0	g             	147.960	105.490	209.610	7.151	18.659	.548	.000
